date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:08:17	1977220/1977220	---M-Z	200	added ('OK')	text/html	etag:W/%2267a38c8f-1e2b84%22	https://pokechu22.github.io/Burger/1.12.2.html	C:/Users/welco/Documents/WinHTTrack/pokechu22%20Burger/pokechu22.github.io/Burger/1.12.2.html	(from )
23:08:17	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2267a39290-239b%22	https://pokechu22.github.io/robots.txt		(from )
23:08:17	11890/11890	---M-Z	200	added ('OK')	text/css	etag:W/%2267a38c8f-2e72%22	https://pokechu22.github.io/Burger/resources/style.css	C:/Users/welco/Documents/WinHTTrack/pokechu22%20Burger/pokechu22.github.io/Burger/resources/style.css	(from https://pokechu22.github.io/Burger/1.12.2.html)
23:08:18	91669/91669	---M-Z	200	added ('OK')	application/javascript	etag:W/%2267a38c8f-16615%22	https://pokechu22.github.io/Burger/resources/jquery.js	C:/Users/welco/Documents/WinHTTrack/pokechu22%20Burger/pokechu22.github.io/Burger/resources/jquery.js	(from https://pokechu22.github.io/Burger/1.12.2.html)
23:08:18	1984/1984	---M-Z	200	added ('OK')	application/javascript	etag:W/%2267a38c8f-7c0%22	https://pokechu22.github.io/Burger/resources/vitrine.js	C:/Users/welco/Documents/WinHTTrack/pokechu22%20Burger/pokechu22.github.io/Burger/resources/vitrine.js	(from https://pokechu22.github.io/Burger/1.12.2.html)
23:08:35	10888/10888	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2267a38c8f-2a88%22	https://pokechu22.github.io/Burger/resources/minecraft.eot?	C:/Users/welco/Documents/WinHTTrack/pokechu22%20Burger/pokechu22.github.io/Burger/resources/minecraftd41d.eot	(from https://pokechu22.github.io/Burger/resources/style.css)
23:08:35	4112/4112	---M--	200	added ('OK')	font/woff	etag:%2267a38c8f-1010%22	https://pokechu22.github.io/Burger/resources/minecraft.woff	C:/Users/welco/Documents/WinHTTrack/pokechu22%20Burger/pokechu22.github.io/Burger/resources/minecraft.woff	(from https://pokechu22.github.io/Burger/resources/style.css)
23:08:35	10700/10700	---M-Z	200	added ('OK')	font/ttf	etag:W/%2267a38c91-29cc%22	https://pokechu22.github.io/Burger/resources/minecraft.ttf	C:/Users/welco/Documents/WinHTTrack/pokechu22%20Burger/pokechu22.github.io/Burger/resources/minecraft.ttf	(from https://pokechu22.github.io/Burger/resources/style.css)
23:08:36	18595/18595	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2267a38c91-48a3%22	https://pokechu22.github.io/Burger/resources/minecraft.svg	C:/Users/welco/Documents/WinHTTrack/pokechu22%20Burger/pokechu22.github.io/Burger/resources/minecraft.svg	(from https://pokechu22.github.io/Burger/resources/style.css)
23:08:36	3573/3573	---M--	200	added ('OK')	image/png	etag:%2267a38c8f-df5%22	https://pokechu22.github.io/Burger/resources/dirt.png	C:/Users/welco/Documents/WinHTTrack/pokechu22%20Burger/pokechu22.github.io/Burger/resources/dirt.png	(from https://pokechu22.github.io/Burger/resources/style.css)
23:08:36	2902/2902	---M--	200	added ('OK')	image/png	etag:%2267a38c8f-b56%22	https://pokechu22.github.io/Burger/resources/arrow.png	C:/Users/welco/Documents/WinHTTrack/pokechu22%20Burger/pokechu22.github.io/Burger/resources/arrow.png	(from https://pokechu22.github.io/Burger/resources/style.css)
